1.52E+18,2022-04-24 17:25:14+00:00,David Nott: The war surgeon helping doctors save lives in Ukraine https://t.co/NP8lj933Tu,"London, England",0,0,Positive
1.52E+18,2022-04-24 17:25:06+00:00,"In comments sections, in social media, even in the official pronouncements of the state, Ukrainians are using a new word built from several languages that is not only a condemnation of Russian actions, but also an offering to the Russian language. https://t.co/AyasKPhbfz https://t.co/ibVpWJcojB",New York City,0,2,Positive
1.52E+18,2022-04-24 17:25:05+00:00,"With Us or With Them? In a New Cold War, How About Neither. https://t.co/xJUQOgbMf9","Delaware, USA",0,0,Negative
1.52E+18,2022-04-24 17:25:04+00:00,"Great essay by ⁦@TimothyDSnyder⁩ on the new word, рашизм (rusism), which basically means Russian fascism, which I suppose we’ve been calling Putinism or just the ideology implicit in informing Russian aggression. https://t.co/Tcv0fELrLG","Washington, DC",0,0,Positive
1.52E+18,2022-04-24 17:25:03+00:00,"Germany prepares already for a good cooperation with Russia after the war.
No heavy weapons to Ukraine and denying war crimes by @Thomas_Geisel 

#Ukraine #StopPutin #MolotovRibbentropPact https://t.co/G8kj5QtLsb",,0,0,Negative
1.52E+18,2022-04-24 17:25:01+00:00,Russia-Ukraine War Live: Blinken and Austin Expected in Kyiv - The New York Times - Russia-Ukraine War Live: Blinken and Austin Expected in Kyiv  The New York TimesPresident Zelenskyy ... #NewsAndInformation https://t.co/z8dPxlaAhJ LIVING STRONG TELEVISION NETWORK,Everywhere,0,0,Negative
1.52E+18,2022-04-24 17:24:56+00:00,Hooray! Parliaments of Latvia and Lithuania have spoken up and approved measures calling war in Ukraine a Genocide!,"Palatine, IL",0,0,Positive
1.52E+18,2022-04-24 17:24:50+00:00,"The forced separation, deportation, relocation and eventual brainwashing of a race of people are part of the definition of #Genocide.

#WarCrimes yes. And also #Genocide.

Putins Russia is guilty of
#GenocideOfUkrainians. 

https://t.co/SbR1kkrjqN",Italy,0,0,Negative
1.52E+18,2022-04-24 17:24:49+00:00,"Two months since the beginning of war today. Easter Sunday in Ukraine, also today. Got stuff to do, today too.","Dnipro, Ukraine",0,0,Negative
1.52E+18,2022-04-24 17:24:39+00:00,Scott Ritter and friends talk about the origin of the war in Ukraine https://t.co/2YRN4PBNEM via @YouTube,"Dhaka, Bangladesh",0,0,Negative
1.52E+18,2022-04-24 17:24:37+00:00,"Is Biden escalating and prolonging his war in Ukraine to try to help Democrats win in November?

https://t.co/D1zwcyx3sz https://t.co/ptiQ04Hao8","Los Angeles, California, USA",0,1,Positive
1.52E+18,2022-04-24 17:24:33+00:00,"Good to see Germany´s political elite standing up for  accountability, transparency and press freedom in light of the disastrous consequences of their Russia policy...https://t.co/kRRcjVbQtM https://t.co/cyYqq8pols","Copenhagen, Denmark",0,1,Positive
1.52E+18,2022-04-24 17:24:32+00:00,"🇳🇴VG004.) 24.02.2022 14:53

ERDUAN will take part in new peace talks

https://t.co/DhgQSKOKUk
+
UN chief António Guterres will visit TURKEY on Monday before moving on to Russia and finally Ukraine, in an attempt to end the war in Ukraine.",,0,0,Negative
1.52E+18,2022-04-24 17:24:32+00:00,The Ukrainian made NFT a collection with the countries supporting Ukraine in terrible war. All money which he will earn will be transferred to ZSU of Ukraine. Support for Ukraine🇺🇦 https://t.co/UAhZZfXlDW,,0,0,Negative
1.52E+18,2022-04-24 17:24:30+00:00,Almost 5.2 Million Ukrainians Flee War: UN | https://t.co/ZOCJZvQ1IO https://t.co/jLcnRq9kbG via @Newsmax,Arizona,0,0,Negative
1.52E+18,2022-04-24 17:24:27+00:00,"From Potemkin to Putin: What a centuries-old myth reveals about Russia's war against Ukraine https://t.co/HgmJrijqAj Interesting. Check it out, 👇",California,0,0,Negative
1.52E+18,2022-04-24 17:24:26+00:00,‘It was killing me’: Ukrainian mother says her son was forcibly deported to Russia https://t.co/tHlI3bTwi5,"Maryland, USA",0,0,Negative
1.52E+18,2022-04-24 17:24:20+00:00,"Today. Two months of war. Prayer of the President, for our Ukraine. https://t.co/uy972NreLO #Ukraine #StandWithUkraine #UkraineRussiaWar #UkraineWar #PrayForUkraine",Украина,0,1,Negative
1.52E+18,2022-04-24 17:24:15+00:00,"After fleeing from war in Ukraine once before, 70-year-olds Nina and Anatolii were forced to again abandon their home to seek safety. Read about their journey from Chernihiv to a small town in France, and the community who helped them get there. https://t.co/cnfcSARE9p",Singapore,0,0,Negative
1.52E+18,2022-04-24 17:24:14+00:00,"#PUTIN
@XiJinping_Pres 
@Xi_TheLeader 
Weapon reach. I feel russia loser in war. If this weapons reach Ukraine https://t.co/c91S6oeXjr","Chandigarh, India",0,0,Negative
1.52E+18,2022-04-24 17:24:13+00:00,"Bombed factories and burning fuel depots in Ukraine are poisoning the air, soil and water. Experts fear the war’s environmental damage could last decades. https://t.co/OPb24FOLqT",Thinkstan,0,0,Negative
1.52E+18,2022-04-24 17:24:09+00:00,"With Us or With Them? In a New Cold War, How About Neither. https://t.co/LdbclzecJg #AndyVermautFromBelgiumLovesNewYorkTimes https://t.co/lHi7M1L2PK","Diksmuide, België",0,0,Negative
1.52E+18,2022-04-24 17:24:02+00:00,Exclusive Drone Footage. War in Ukraine. Support Ukraine 🇺🇦 https://t.co/LI6CnIgYxo #válka #feedly,,0,0,Negative
1.52E+18,2022-04-24 17:24:00+00:00,"Putin’s Hunger for Money
Why Bill Browder, formerly one of Russia’s biggest investors, thinks the war in Ukraine is all about money. https://t.co/wVUJFHCPLE",,0,0,Negative
1.52E+18,2022-04-24 17:23:56+00:00,"I’ve been saying this for so long, shared documents, videos, testimonies etc. However many choose to be told rather than getting to know the facts. 
There are no good sides in this war #US and #NATO are as responsible as any other party in this mess.
#Ukraine #UkraineRussiaWar https://t.co/WdpNVfK0t8",Northen Hemisphere ,0,1,Positive
1.52E+18,2022-04-24 17:23:55+00:00,"""...each letter has magic. We have to go slowly."" 
https://t.co/tf7rAYoXWE","Portland, Oregon ",0,0,Neutral
1.52E+18,2022-04-24 17:23:49+00:00,Macron is seeking to goal of a ceasefire in Ukraine. The U.S. and NATO assistance to Ukraine is pushing us to nuclear war - French Intelligence.,Proxima Centauri,0,0,Negative
1.52E+18,2022-04-24 17:23:47+00:00,New York Times: The War in Ukraine Has Unleashed a New Word https://t.co/vcQSEA2jLE #Russia #Ukraine #war,"North Cack baby, not a boss ",0,0,Negative
1.52E+18,2022-04-24 17:23:41+00:00,"Orthodox Easter celebration marred by war and division in Ukraine
https://t.co/rpzXoo9ULA",France,0,0,Negative
1.52E+18,2022-04-24 17:23:35+00:00,"Phase 2: Novorossiya which includes Transnistria. Transnistria= Rep Moldova. Perhaps new border up to Nistru and Budjak included again in Bessarabia, but in any case Ukraine war will touch ethnic Romanian territories. Worrying.
https://t.co/NwC5a9U5vo","Bucureşti, România",0,0,Negative
1.52E+18,2022-04-24 17:23:31+00:00,#BorisJohnson- unlike the SENILE puppet called #JoeBiden- receives and understands intel reports. His own Military Intelligence informs him that the war is nearly done. That #Russia has defeated well-armed and organized #Ukraine army and all its Western backers. So....... https://t.co/2DOMtrdCyB,,0,0,Negative
